,Name,Artist,Acousticness,Danceability,Speechiness,Energy,Liveness,Valence,Key,Mode,Tempo,Duration,Popularity
88,Mo Bamba,Sheck Wes,0.194,0.729,0.0315,0.625,0.248,0.261,4.0,1.0,146.034,183907.0,80.0
89,Beautiful Crazy,Luke Combs,0.676,0.552,0.0262,0.402,0.0928,0.382,11.0,1.0,103.313,193200.0,80.0
90,Talk (feat. Disclosure),Khalid,0.051,0.901,0.126,0.4,0.0599,0.346,0.0,1.0,135.984,197573.0,79.0
91,ZEZE (feat. Travis Scott & Offset),Kodak Black,0.0521,0.861,0.176,0.603,0.0924,0.504,8.0,0.0,98.043,228760.0,81.0
92,Believer,Imagine Dragons,0.0622,0.776,0.128,0.78,0.081,0.666,10.0,0.0,124.949,204347.0,87.0
93,Pure Cocaine,Lil Baby,0.00127,0.964,0.421,0.487,0.115,0.107,10.0,0.0,127.05,154024.0,74.0
94,Con Calma,Daddy Yankee,0.11,0.737,0.0593,0.86,0.0574,0.656,8.0,0.0,93.989,193227.0,83.0
95,High Hopes,Panic! At The Disco,0.193,0.579,0.0618,0.904,0.064,0.681,5.0,1.0,82.014,190947.0,84.0
96,Price On My Head (feat. The Weeknd),NAV,0.384,0.768,0.136,0.574,0.336,0.278,6.0,0.0,74.949,217776.0,70.0
97,Saturday Nights,Khalid,0.606,0.551,0.0985,0.44,0.11,0.341,10.0,1.0,167.923,210667.0,76.0
98,I Like It,Cardi B,0.099,0.816,0.129,0.726,0.372,0.65,5.0,0.0,136.048,253390.0,82.0
99,Close Friends (Lil Baby & Gunna),Lil Baby,0.0509,0.676,0.375,0.578,0.0796,0.698,10.0,0.0,158.896,203881.0,76.0
100,Old Town Road - Remix,Lil Nas X,0.0533,0.878,0.102,0.619,0.113,0.639,6.0,1.0,136.041,157067.0,87.0
101,bad guy,Billie Eilish,0.328,0.701,0.375,0.425,0.1,0.562,7.0,1.0,135.128,194088.0,93.0
102,Señorita,Shawn Mendes,0.037,0.759,0.0287,0.54,0.0945,0.75,9.0,0.0,116.947,190960.0,89.0
103,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.556,0.76,0.0466,0.479,0.0703,0.913,2.0,1.0,89.911,158040.0,86.0
104,Truth Hurts,Lizzo,0.11,0.715,0.114,0.624,0.123,0.412,4.0,0.0,158.087,173325.0,80.0
105,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.0408,0.907,0.36,0.539,0.253,0.664,4.0,1.0,124.918,150115.0,83.0
106,Ransom,Lil Tecca,0.0204,0.745,0.287,0.642,0.0658,0.226,7.0,0.0,179.974,131240.0,86.0
107,Money In The Grave (Drake ft. Rick Ross),Drake,0.101,0.831,0.046,0.502,0.122,0.101,10.0,0.0,100.541,205427.0,85.0
108,Suge,DaBaby,0.0608,0.876,0.426,0.662,0.127,0.844,2.0,0.0,75.445,163320.0,83.0
109,No Guidance (feat. Drake),Chris Brown,0.123,0.698,0.151,0.454,0.155,0.137,1.0,0.0,92.932,260640.0,81.0
110,The Git Up,Blanco Brown,0.0669,0.847,0.109,0.678,0.274,0.811,9.0,1.0,97.984,200594.0,78.0
111,I Don't Care (with Justin Bieber),Ed Sheeran,0.0912,0.798,0.0442,0.675,0.0894,0.842,6.0,1.0,101.956,219947.0,87.0
112,Panini,Lil Nas X,0.342,0.703,0.0752,0.594,0.123,0.475,5.0,0.0,153.848,114893.0,79.0
113,Talk (feat. Disclosure),Khalid,0.051,0.901,0.126,0.4,0.0599,0.346,0.0,1.0,135.984,197573.0,79.0
114,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,0.0251,0.894,0.42,0.511,0.14,0.568,2.0,1.0,120.08,176632.0,76.0
115,Pop Out (feat. Lil Tjay),Polo G,0.15,0.772,0.467,0.639,0.0698,0.261,1.0,1.0,168.112,166560.0,82.0
116,The London (feat. J. Cole & Travis Scott),Young Thug,0.0247,0.796,0.147,0.586,0.132,0.179,4.0,0.0,97.981,200107.0,79.0
117,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
118,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
119,Wow.,Post Malone,0.136,0.829,0.208,0.539,0.103,0.388,11.0,0.0,99.96,149547.0,86.0
120,How Do You Sleep?,Sam Smith,0.153,0.477,0.0925,0.682,0.0763,0.345,1.0,0.0,110.567,202205.0,86.0
121,You Need To Calm Down,Taylor Swift,0.00929,0.771,0.0553,0.671,0.0637,0.714,2.0,1.0,85.026,171360.0,84.0
122,Beautiful People (feat. Khalid),Ed Sheeran,0.124,0.64,0.187,0.648,0.0802,0.548,5.0,0.0,92.977,197867.0,86.0
123,7 rings,Ariana Grande,0.592,0.778,0.334,0.317,0.0881,0.327,1.0,0.0,140.048,178627.0,87.0
124,Happier,Marshmello,0.191,0.687,0.0452,0.792,0.167,0.671,5.0,1.0,100.015,214290.0,87.0
125,If I Can't Have You,Shawn Mendes,0.524,0.692,0.0602,0.809,0.147,0.864,2.0,1.0,123.911,190800.0,82.0
126,Without Me,Halsey,0.297,0.752,0.0705,0.488,0.0936,0.533,6.0,1.0,136.041,201661.0,84.0
127,Sucker,Jonas Brothers,0.0427,0.842,0.0588,0.734,0.106,0.952,1.0,0.0,137.958,181027.0,86.0
128,SICKO MODE,Travis Scott,0.00513,0.834,0.222,0.73,0.124,0.446,8.0,1.0,155.008,312820.0,85.0
129,My Type,Saweetie,0.000677,0.899,0.258,0.811,0.0672,0.587,2.0,1.0,105.038,126446.0,78.0
130,China,Anuel AA,0.0846,0.786,0.0882,0.808,0.0822,0.609,7.0,1.0,105.027,301714.0,88.0
131,Someone You Loved,Lewis Capaldi,0.751,0.501,0.0319,0.405,0.105,0.446,1.0,1.0,109.891,182161.0,93.0
132,Cash Shit (feat. DaBaby),Megan Thee Stallion,0.0218,0.921,0.416,0.635,0.0946,0.549,1.0,1.0,130.028,192540.0,78.0
133,God's Country,Blake Shelton,0.0608,0.538,0.0396,0.752,0.118,0.217,10.0,1.0,139.984,205107.0,74.0
134,MIDDLE CHILD,J. Cole,0.149,0.837,0.276,0.364,0.271,0.463,8.0,1.0,123.984,213594.0,83.0
135,Antisocial (with Travis Scott),Ed Sheeran,0.133,0.715,0.0495,0.823,0.361,0.91,5.0,0.0,151.956,161747.0,73.0
136,Act Up,City Girls,0.0167,0.938,0.189,0.638,0.111,0.313,8.0,1.0,97.075,158332.0,75.0
137,Clout (feat. Cardi B),Offset,0.228,0.919,0.0997,0.622,0.122,0.424,1.0,1.0,140.022,205803.0,76.0
138,Dancing With A Stranger (with Normani),Sam Smith,0.45,0.741,0.0656,0.52,0.222,0.347,8.0,1.0,102.998,171030.0,85.0
139,Believer,Imagine Dragons,0.0622,0.776,0.128,0.78,0.081,0.666,10.0,0.0,124.949,204347.0,87.0
140,EARFQUAKE,"Tyler, The Creator",0.23,0.554,0.0685,0.498,0.795,0.413,9.0,1.0,79.635,190067.0,83.0
141,It's You,Ali Gatie,0.374,0.732,0.0287,0.463,0.194,0.397,11.0,0.0,95.971,212607.0,87.0
142,Callaita,Bad Bunny,0.6,0.61,0.309,0.624,0.243,0.244,2.0,1.0,176.169,250534.0,87.0
143,One Thing Right,Marshmello,0.0667,0.659,0.0451,0.623,0.582,0.439,4.0,1.0,88.042,181824.0,82.0
144,Beer Never Broke My Heart,Luke Combs,0.0138,0.54,0.0481,0.863,0.0874,0.64,1.0,1.0,77.0,186733.0,77.0
145,Rodeo,Lil Nas X,0.139,0.706,0.0324,0.679,0.465,0.657,9.0,1.0,140.081,158707.0,76.0
146,Whiskey Glasses,Morgan Wallen,0.369,0.614,0.0289,0.68,0.115,0.707,6.0,1.0,149.959,234347.0,79.0
147,Con Calma,Daddy Yankee,0.11,0.737,0.0593,0.86,0.0574,0.656,8.0,0.0,93.989,193227.0,83.0
148,Better,Khalid,0.0765,0.596,0.097,0.552,0.104,0.112,0.0,0.0,97.949,229320.0,78.0
149,Lalala,Y2K,0.181,0.843,0.0845,0.391,0.137,0.496,2.0,1.0,129.972,160627.0,87.0
150,ROXANNE,Arizona Zervas,0.0522,0.621,0.148,0.601,0.46,0.457,6.0,0.0,116.735,163636.0,96.0
151,BOP,DaBaby,0.189,0.769,0.367,0.787,0.129,0.836,11.0,1.0,126.77,159715.0,88.0
152,Circles,Post Malone,0.192,0.695,0.0395,0.762,0.0863,0.553,0.0,1.0,120.042,215280.0,95.0
153,Old Town Road - Remix,Lil Nas X,0.0533,0.878,0.102,0.619,0.113,0.639,6.0,1.0,136.041,157067.0,87.0
154,Ransom,Lil Tecca,0.0204,0.745,0.287,0.642,0.0658,0.226,7.0,0.0,179.974,131240.0,86.0
155,Woah,Lil Baby,0.0177,0.882,0.245,0.602,0.178,0.43,11.0,1.0,142.959,183011.0,85.0
156,Dance Monkey,Tones And I,0.692,0.824,0.0924,0.588,0.149,0.513,6.0,0.0,98.027,209438.0,97.0
157,bad guy,Billie Eilish,0.328,0.701,0.375,0.425,0.1,0.562,7.0,1.0,135.128,194088.0,93.0
158,Bandit (with YoungBoy Never Broke Again),Juice WRLD,0.0687,0.474,0.343,0.631,0.132,0.425,5.0,0.0,180.051,189323.0,87.0
159,HIGHEST IN THE ROOM,Travis Scott,0.0546,0.598,0.0317,0.427,0.21,0.0605,7.0,0.0,76.469,175721.0,89.0
160,All I Want for Christmas Is You,Mariah Carey,0.164,0.335,0.0386,0.625,0.0708,0.346,7.0,1.0,150.277,241107.0,70.0
161,Panini,Lil Nas X,0.342,0.703,0.0752,0.594,0.123,0.475,5.0,0.0,153.848,114893.0,79.0
162,hot girl bummer,blackbear,0.128,0.778,0.0776,0.559,0.399,0.678,6.0,0.0,129.989,185093.0,90.0
163,everything i wanted,Billie Eilish,0.902,0.704,0.0994,0.225,0.106,0.243,6.0,0.0,120.006,245426.0,94.0
164,Someone You Loved,Lewis Capaldi,0.751,0.501,0.0319,0.405,0.105,0.446,1.0,1.0,109.891,182161.0,93.0
165,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
166,No Guidance (feat. Drake),Chris Brown,0.123,0.698,0.151,0.454,0.155,0.137,1.0,0.0,92.932,260640.0,81.0
167,Vete,Bad Bunny,0.0363,0.886,0.188,0.672,0.101,0.526,1.0,1.0,91.976,192024.0,89.0
168,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.556,0.76,0.0466,0.479,0.0703,0.913,2.0,1.0,89.911,158040.0,86.0
169,Memories,Maroon 5,0.837,0.764,0.0546,0.32,0.0822,0.575,11.0,1.0,91.019,189486.0,94.0
170,Lose You To Love Me,Selena Gomez,0.556,0.488,0.0436,0.343,0.21,0.0978,4.0,1.0,102.819,206459.0,88.0
171,Señorita,Shawn Mendes,0.037,0.759,0.0287,0.54,0.0945,0.75,9.0,0.0,116.947,190960.0,89.0
172,Rockin' Around The Christmas Tree,Brenda Lee,0.614,0.589,0.0502,0.472,0.505,0.898,8.0,1.0,67.196,126267.0,62.0
173,Falling,Trevor Daniel,0.123,0.784,0.0364,0.43,0.0887,0.236,10.0,0.0,127.087,159382.0,96.0
174,"10,000 Hours (with Justin Bieber)",Dan + Shay,0.153,0.654,0.0259,0.63,0.111,0.43,10.0,1.0,89.991,167693.0,89.0
175,Heart On Ice,Rod Wave,0.0513,0.733,0.0738,0.389,0.141,0.244,10.0,0.0,157.878,159670.0,80.0
176,Truth Hurts,Lizzo,0.11,0.715,0.114,0.624,0.123,0.412,4.0,0.0,158.087,173325.0,80.0
177,223's (feat. 9lokknine),YNW Melly,0.0388,0.932,0.333,0.547,0.0924,0.695,0.0,0.0,94.998,176640.0,80.0
178,Who Needs Love,Trippie Redd,0.763,0.85,0.0714,0.516,0.0896,0.874,0.0,0.0,108.963,158532.0,77.0
179,death bed (coffee for your head) (feat. beabadoobee),Powfu,0.731,0.726,0.135,0.431,0.696,0.348,8.0,0.0,144.026,173333.0,93.0
180,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
181,Heartless,The Weeknd,0.0236,0.537,0.15,0.746,0.156,0.252,10.0,0.0,170.062,198267.0,81.0
182,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,0.298,0.668,0.0645,0.892,0.735,0.478,5.0,0.0,95.927,159011.0,85.0
183,Playing Games (with Bryson Tiller) - Extended Version,Summer Walker,0.603,0.726,0.0614,0.408,0.225,0.459,11.0,0.0,115.918,143227.0,77.0
184,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
185,6 Kiss,Trippie Redd,0.109,0.687,0.154,0.449,0.282,0.229,2.0,1.0,142.048,199437.0,78.0
186,Suicidal,YNW Melly,0.334,0.736,0.0688,0.369,0.126,0.235,9.0,0.0,140.005,222997.0,89.0
187,Lover,Taylor Swift,0.492,0.359,0.0919,0.543,0.118,0.453,7.0,1.0,68.534,221307.0,82.0
188,hot girl bummer,blackbear,0.128,0.778,0.0776,0.559,0.399,0.678,6.0,0.0,129.989,185093.0,90.0
189,VIBEZ,DaBaby,0.113,0.768,0.307,0.652,0.107,0.777,1.0,0.0,154.187,144935.0,85.0
190,Juicy,Doja Cat,0.0856,0.786,0.0661,0.658,0.0689,0.458,0.0,1.0,170.037,202333.0,77.0
191,LOYAL (feat. Drake),PARTYNEXTDOOR,0.517,0.866,0.0495,0.53,0.0946,0.203,0.0,0.0,104.952,197973.0,80.0
192,Suge,DaBaby,0.0608,0.876,0.426,0.662,0.127,0.844,2.0,0.0,75.445,163320.0,83.0
193,Jingle Bell Rock,Bobby Helms,0.643,0.754,0.0363,0.424,0.0652,0.806,2.0,1.0,119.705,130973.0,61.0
194,Camelot,NLE Choppa,0.0849,0.787,0.401,0.713,0.717,0.762,7.0,1.0,175.041,148759.0,82.0
195,A Holly Jolly Christmas - Single Version,Burl Ives,0.579,0.683,0.0303,0.375,0.076,0.888,0.0,1.0,140.467,135533.0,52.0
196,It's the Most Wonderful Time of the Year,Andy Williams,0.766,0.24,0.037,0.598,0.117,0.776,7.0,1.0,202.082,151933.0,61.0
197,One Man Band,Old Dominion,0.677,0.706,0.0348,0.358,0.107,0.478,6.0,1.0,75.991,186240.0,79.0
198,Last Christmas,Wham!,0.189,0.735,0.0293,0.478,0.355,0.947,2.0,1.0,107.682,262960.0,64.0
199,7 rings,Ariana Grande,0.592,0.778,0.334,0.317,0.0881,0.327,1.0,0.0,140.048,178627.0,87.0
200,Perfect,Ed Sheeran,0.163,0.599,0.0232,0.448,0.106,0.168,8.0,1.0,95.05,263400.0,85.0
201,rockstar (feat. 21 Savage),Post Malone,0.124,0.585,0.0712,0.52,0.131,0.129,5.0,0.0,159.801,218147.0,87.0
202,Gucci Gang,Lil Pump,0.239,0.936,0.0597,0.523,0.117,0.699,5.0,1.0,119.889,124056.0,72.0
203,Havana (feat. Young Thug),Camila Cabello,0.184,0.765,0.03,0.523,0.132,0.394,2.0,1.0,104.988,217307.0,82.0
204,MotorSport,Migos,0.0305,0.904,0.183,0.518,0.325,0.188,2.0,1.0,137.996,303077.0,74.0
205,GUMMO,6ix9ine,0.0553,0.66,0.172,0.775,0.129,0.635,2.0,1.0,157.036,157643.0,68.0
206,No Limit,G-Eazy,0.0117,0.838,0.244,0.771,0.0853,0.405,1.0,1.0,175.957,245387.0,75.0
207,All I Want for Christmas Is You,Mariah Carey,0.164,0.335,0.0386,0.625,0.0708,0.346,7.0,1.0,150.277,241107.0,70.0
208,Bodak Yellow (Money Moves) - Instrumental Version,Cardo Grandz,0.171,0.736,0.0468,0.762,0.219,0.91,9.0,1.0,125.014,218581.0,7.0
